_id,bio,college,country,createdAt,dob,email,face_detection_probabilities,gender,height,interests,is_habit_drink,is_habit_smoke,is_verified,mobile,name,status,type,updatedAt,verified_at,what_to_find,who_to_date,is_subscribed,clg,age
0,I am very honest and caring person,Jawaharlal Nehru University,IN,2023-02-07T05:23:18.004Z,2002-07-16,9000000000@get.idyll,[90.7028079032898],M,175.0,"['Art & Craft', 'Bollywood', 'Comedy', 'Design', 'Badminton']",N,N,True,9000000000,Prakhar Sharma,True,U,2023-02-22T11:57:08.616Z,2023-02-22T11:57:04.347Z,C,F,True,JNU,21.0
1,Let's go on a date.,Heritage ,IN,2023-02-07T05:44:15.450Z,1999-02-26,9100000000@get.idyll,[],M,177.0,"['Singing', 'Writing', 'Dancing', 'Mountains', 'Biryani']",N,N,True,9100000000,Amit,True,U,2023-02-21T18:07:44.286Z,2023-02-21T18:01:34.165Z,C,F,True,HERITAGE,24.0
2,Loving life,Jawaharlal Nehru University,IN,2023-02-07T05:57:29.233Z,2001-01-08,9200000000@get.idyll,[88.67224454879761],F,175.0,"['Badminton', 'Design', 'Writing', 'Open-Minded', 'Coffee']",N,N,True,9200000000,Ritz,True,U,2023-02-14T10:33:13.373Z,,R,M,True,JNU,22.0
3,"Jai Maharashtra
🥲Bharat Mata ki Jay.....
Inquilab zindabad ",Jawaharlal Nehru University,IN,2023-02-07T06:04:39.836Z,2000-08-20,9300000000@get.idyll,"[90.63367247581482,70.43942511081696,96.18995189666748,95.02163529396057]",M,177.0,"['Singing', 'Cricket', 'Concerts', 'Vegetarian', 'Tea']",N,N,True,9300000000,Devesh Shukla ,True,U,2023-02-26T20:28:11.956Z,,R,F,True,JNU,23.0
4,🙄,Jawaharlal Nehru University,IN,2023-02-07T07:05:14.605Z,2000-07-31,9400000000@get.idyll,,M,178.0,"['Football', 'Gym', 'Biryani', 'Sci-fi', 'Cricket']",N,N,False,9400000000,Aditya bhadoriya ,True,U,2023-02-07T07:09:17.627Z,,NS,A,False,JNU,23.0
6,"I am what I am, you get what you see..unless you are a fake.

Simple but complex.

Strong yet vulnerable.

Connected whilst independent.

Easy going. Until I’m not.",Delhi College Of Engineering,IN,2023-02-07T07:31:28.236Z,2001-12-11,9600000000@get.idyll,,M,175.0,"['Design', 'Art & Craft', 'Badminton', 'Cricket', 'Photography']",N,N,False,9600000000,Ankit,True,U,2023-02-07T07:48:38.692Z,,NS,F,True,DCE,22.0
7,"Joyfull, Fun loving guy",Jawaharlal Nehru University,IN,2023-02-07T07:34:25.833Z,2002-02-16,9700000000@get.idyll,"[95.65495252609253,91.10906720161438,97.78301119804382]",M,165.0,"['Camping', 'Beer', 'Beaches', 'Mountains', 'Foodie']",S,S,True,9700000000,Kushal Poddar,True,U,2023-02-26T20:28:11.677Z,2023-02-23T07:06:05.873Z,NS,F,True,JNU,21.0
8,"Well, the person right here is kinda sociopath.",Jawaharlal Nehru University ,IN,2023-02-07T08:08:19.570Z,2000-03-31,9800000000@get.idyll,,M,187.0,"['Boxing', 'Cycling', 'Gym', 'Backpacking', 'Coffee']",S,S,True,9800000000,Nirmal Shankar ,True,U,2023-02-15T14:17:29.945Z,2023-02-15T14:17:29.944Z,C,F,True,JNU,23.0
9,Rnd,Jnu,IN,2023-02-07T08:23:49.722Z,2004-08-30,9900000000@get.idyll,[98.3376681804657],M,176.0,[''],N,N,True,9900000000,Rishik ,True,U,2023-02-13T17:00:47.219Z,,C,F,True,JNU,19.0
10,"🙂🙃🙂🙃🙂🙃🙂🙃🙂🙃
,❤️kisi ko chahiye toh most welcome 😝",Jawaharlal Nehru University,IN,2023-02-07T08:30:36.273Z,2001-02-03,9100000000@get.idyll,[],M,5.6,"['Writing', 'Photography', 'Gym', 'Festivals', 'Vegetarian']",N,N,False,9100000000,Niraj Kumar ,True,U,2023-02-09T13:23:41.858Z,,F,F,True,JNU,22.0
